family,checkpoint_path,corpus_trained_on,seed,step,n_params,d_model,d_state,n_layers,K,d_head,anchor_random,anchor_collapse,archived4_gram_deviation_mean,archived4_gram_deviation_std,archived4_span_frac,archived4_effective_rank_mean,archived4_stable_rank_mean,archived4_n_scored,all7_gram_deviation_mean,all7_span_frac,all7_n_scored
mixcontrol,/data/lm_rd_trackc_ckpts/mixcontrol/lmC_openr1-mix-ext_dm256_ds64_L2_s0_step6103.pt,openr1-mix-ext,0,6103,14048896,256,64,2,64,64,7.937253933193772,63.49803146555018,19.94384789466858,4.736379600736492,0.21609837901355214,35.82966184616089,4.613581746816635,2048,20.055173056466238,0.21810204359029114,3584
mixcontrol,/data/lm_rd_trackc_ckpts/mixcontrol/lmC_openr1-mix-ext_dm256_ds64_L2_s1_step6103.pt,openr1-mix-ext,1,6103,14048896,256,64,2,64,64,7.937253933193772,63.49803146555018,21.840110778808594,5.644392906175272,0.2502279029035968,35.60942602157593,3.9446965157985687,2048,22.361810547964915,0.25961761615684464,3584
mixcontrol,/data/lm_rd_trackc_ckpts/mixcontrol/lmC_openr1-mix-ext_dm256_ds64_L2_s2_step6103.pt,openr1-mix-ext,2,6103,14048896,256,64,2,64,64,7.937253933193772,63.49803146555018,20.163880825042725,3.940775349396444,0.22005859951705403,36.83694791793823,4.181035876274109,2048,20.509597097124374,0.22628090754505667,3584
mixcontrol,/data/lm_rd_trackc_ckpts/mixcontrol/lmC_wikitext-mix-ext_dm256_ds64_L2_s0_step6103.pt,wikitext-mix-ext,0,6103,14048896,256,64,2,64,64,7.937253933193772,63.49803146555018,25.50408935546875,8.057298189168039,0.3161733187057137,31.121806144714355,3.771708369255066,2048,25.82965510232108,0.32203295136947063,3584
mixcontrol,/data/lm_rd_trackc_ckpts/mixcontrol/lmC_wikitext-mix-ext_dm256_ds64_L2_s1_step6103.pt,wikitext-mix-ext,1,6103,14048896,256,64,2,64,64,7.937253933193772,63.49803146555018,22.409078121185303,5.000594441562746,0.2604683525093527,34.01735472679138,3.9005026817321777,2048,22.858355113438197,0.268554578300402,3584
mixcontrol,/data/lm_rd_trackc_ckpts/mixcontrol/lmC_wikitext-mix-ext_dm256_ds64_L2_s2_step6103.pt,wikitext-mix-ext,2,6103,14048896,256,64,2,64,64,7.937253933193772,63.49803146555018,20.574315547943115,4.514257579454064,0.22744573017161282,35.196171283721924,4.3293516635894775,2048,21.123247282845632,0.2373255727383019,3584
wave1,results/lm_rd_trackc/wave1/checkpoints/lmC_openr1-mix_dm768_ds64_L12_s0_step67547.pt,openr1-mix,0,67547,97618176,768,64,12,64,64,7.937253933193772,63.49803146555018,27.63577091693878,14.127541543497582,0.3545399805154521,33.94543735186259,3.86289095133543,12288,27.63577091693878,0.3545399805154521,12288
wave1,results/lm_rd_trackc/wave1/checkpoints/lmC_openr1-mix_dm768_ds64_L12_s1_step67547.pt,openr1-mix,1,67547,97618176,768,64,12,64,64,7.937253933193772,63.49803146555018,26.157653033733368,13.350705710980522,0.32793635924063075,34.21375983953476,3.8973223765691123,12288,26.157653033733368,0.32793635924063075,12288
wave1,results/lm_rd_trackc/wave1/checkpoints/lmC_openr1-mix_dm768_ds64_L12_s2_step67547.pt,openr1-mix,2,67547,97618176,768,64,12,64,64,7.937253933193772,63.49803146555018,25.928329328695934,12.49227708500064,0.3238089205109642,34.322723706563316,4.044136973718802,12288,25.928329328695934,0.3238089205109642,12288
wave1,results/lm_rd_trackc/wave1/checkpoints/lmC_wikitext-mix_dm768_ds64_L12_s0_step67547.pt,wikitext-mix,0,67547,97618176,768,64,12,64,64,7.937253933193772,63.49803146555018,28.83091950416565,10.832850895939904,0.37605063317921045,31.654557426770527,3.0251667449871698,12288,28.83091950416565,0.37605063317921045,12288
