family,checkpoint_path,corpus_trained_on,seed,step,n_params,d_model,d_state,n_layers,K,d_head,anchor_random,anchor_collapse,archived4_gram_deviation_mean,archived4_gram_deviation_std,archived4_span_frac,archived4_effective_rank_mean,archived4_stable_rank_mean,archived4_n_scored,all7_gram_deviation_mean,all7_span_frac,all7_n_scored
mixcontrol,/data/lm_rd_trackc_ckpts/mixcontrol/lmC_openr1-mix-ext_dm256_ds64_L2_s0_step1000.pt,openr1-mix-ext,0,1000,14048896,256,64,2,64,64,7.937253933193772,63.49803146555018,21.892361640930176,3.7292214499825773,0.2511683300257902,34.20107364654541,3.8525746762752533,2048,22.12353801727295,0.2553291137046749,3584
mixcontrol,/data/lm_rd_trackc_ckpts/mixcontrol/lmC_openr1-mix-ext_dm256_ds64_L2_s0_step2000.pt,openr1-mix-ext,0,2000,14048896,256,64,2,64,64,7.937253933193772,63.49803146555018,20.91157865524292,4.696154385567065,0.23351589553428068,35.21401643753052,4.2847625613212585,2048,21.033707073756627,0.23571400045537513,3584
mixcontrol,/data/lm_rd_trackc_ckpts/mixcontrol/lmC_openr1-mix-ext_dm256_ds64_L2_s0_step3000.pt,openr1-mix-ext,0,3000,14048896,256,64,2,64,64,7.937253933193772,63.49803146555018,20.778817892074585,5.382888491434721,0.2311264263967939,35.413506507873535,4.4392949640750885,2048,20.848216329302108,0.23237548086128745,3584
mixcontrol,/data/lm_rd_trackc_ckpts/mixcontrol/lmC_openr1-mix-ext_dm256_ds64_L2_s0_step4000.pt,openr1-mix-ext,0,4000,14048896,256,64,2,64,64,7.937253933193772,63.49803146555018,20.316476821899414,4.934614207217924,0.22280506930444718,35.67479991912842,4.522640824317932,2048,20.414388792855398,0.22456731913795544,3584
mixcontrol,/data/lm_rd_trackc_ckpts/mixcontrol/lmC_openr1-mix-ext_dm256_ds64_L2_s0_step5000.pt,openr1-mix-ext,0,5000,14048896,256,64,2,64,64,7.937253933193772,63.49803146555018,20.015379667282104,4.723703109668953,0.21738582990589914,35.827229022979736,4.587935090065002,2048,20.131392887660436,0.2194738716060134,3584
mixcontrol,/data/lm_rd_trackc_ckpts/mixcontrol/lmC_openr1-mix-ext_dm256_ds64_L2_s0_step6000.pt,openr1-mix-ext,0,6000,14048896,256,64,2,64,64,7.937253933193772,63.49803146555018,19.97543215751648,4.773466621334559,0.21666684231177555,35.84262561798096,4.605332285165787,2048,20.08688599722726,0.2186728228732584,3584
mixcontrol,/data/lm_rd_trackc_ckpts/mixcontrol/lmC_openr1-mix-ext_dm256_ds64_L2_s0_step6103.pt,openr1-mix-ext,0,6103,14048896,256,64,2,64,64,7.937253933193772,63.49803146555018,19.94384789466858,4.736379600736492,0.21609837901355214,35.82966184616089,4.613581746816635,2048,20.055173056466238,0.21810204359029114,3584
mixcontrol,/data/lm_rd_trackc_ckpts/mixcontrol/lmC_openr1-mix-ext_dm256_ds64_L2_s1_step1000.pt,openr1-mix-ext,1,1000,14048896,256,64,2,64,64,7.937253933193772,63.49803146555018,27.00318145751953,6.589179733539005,0.34315444043637644,32.80279850959778,3.1142249703407288,2048,27.505021776471818,0.3521867171834042,3584
mixcontrol,/data/lm_rd_trackc_ckpts/mixcontrol/lmC_openr1-mix-ext_dm256_ds64_L2_s1_step2000.pt,openr1-mix-ext,1,2000,14048896,256,64,2,64,64,7.937253933193772,63.49803146555018,24.37801504135132,6.090893245431899,0.29590588610073165,34.25090312957764,3.511405438184738,2048,24.785936628069198,0.3032477845556322,3584
mixcontrol,/data/lm_rd_trackc_ckpts/mixcontrol/lmC_openr1-mix-ext_dm256_ds64_L2_s1_step3000.pt,openr1-mix-ext,1,3000,14048896,256,64,2,64,64,7.937253933193772,63.49803146555018,23.052454233169556,5.705963122593254,0.27204803408615524,34.99616289138794,3.721104085445404,2048,23.49429702758789,0.2800004568930719,3584
