
======================================================================
  CELL: arm=off  corpus=openr1-mix-ext  seed=0  steps=20000
======================================================================
  [off] step      1  loss 10.8783  lr 3.00e-06
  [off] step    100  loss 7.5273  lr 3.00e-04
  [off] step    200  loss 6.8705  lr 3.00e-04
  [off] step    300  loss 6.6988  lr 3.00e-04
  [off] step    400  loss 6.0851  lr 3.00e-04
  [off] step    500  loss 5.9273  lr 3.00e-04
  [off] step    600  loss 5.7273  lr 3.00e-04
  [off] step    700  loss 5.9225  lr 2.99e-04
  [off] step    800  loss 5.1787  lr 2.99e-04
  [off] step    900  loss 5.6026  lr 2.99e-04
  [off] step   1000  loss 5.3077  lr 2.99e-04
  [off] step   1100  loss 5.4789  lr 2.98e-04
  [off] step   1200  loss 5.2319  lr 2.98e-04
  [off] step   1300  loss 5.5599  lr 2.98e-04
  [off] step   1400  loss 5.3845  lr 2.97e-04
  [off] step   1500  loss 4.5438  lr 2.97e-04
  [off] step   1600  loss 5.1756  lr 2.96e-04
  [off] step   1700  loss 4.9688  lr 2.96e-04
  [off] step   1800  loss 5.3295  lr 2.95e-04
  [off] step   1900  loss 4.7430  lr 2.95e-04
  [off] step   2000  loss 4.5507  lr 2.94e-04
  [off] step   2100  loss 4.9756  lr 2.93e-04
  [off] step   2200  loss 4.4607  lr 2.93e-04
  [off] step   2300  loss 4.4873  lr 2.92e-04
  [off] step   2400  loss 4.5537  lr 2.91e-04
  [off] step   2500  loss 4.8610  lr 2.90e-04
  [off] step   2600  loss 4.9193  lr 2.90e-04
  [off] step   2700  loss 4.4766  lr 2.89e-04
  [off] step   2800  loss 4.3039  lr 2.88e-04
  [off] step   2900  loss 4.8928  lr 2.87e-04
  [off] step   3000  loss 4.5150  lr 2.86e-04
  [off] step   3100  loss 4.6942  lr 2.85e-04
  [off] step   3200  loss 4.3285  lr 2.84e-04
  [off] step   3300  loss 4.7099  lr 2.83e-04
  [off] step   3400  loss 4.6943  lr 2.82e-04
  [off] step   3500  loss 4.3794  lr 2.81e-04
  [off] step   3600  loss 4.1631  lr 2.80e-04
  [off] step   3700  loss 4.5659  lr 2.79e-04
  [off] step   3800  loss 4.4576  lr 2.78e-04
  [off] step   3900  loss 4.2931  lr 2.76e-04
  [off] step   4000  loss 4.6380  lr 2.75e-04
  [off] step   4100  loss 4.4246  lr 2.74e-04
  [off] step   4200  loss 4.4591  lr 2.73e-04
  [off] step   4300  loss 4.0551  lr 2.71e-04
  [off] step   4400  loss 4.4792  lr 2.70e-04
  [off] step   4500  loss 4.2966  lr 2.69e-04
  [off] step   4600  loss 4.4460  lr 2.67e-04
  [off] step   4700  loss 4.4409  lr 2.66e-04
  [off] step   4800  loss 4.4240  lr 2.65e-04
  [off] step   4900  loss 4.5236  lr 2.63e-04
  [off] step   5000  loss 4.2565  lr 2.62e-04
  [off] step   5100  loss 4.8330  lr 2.60e-04
  [off] step   5200  loss 3.9883  lr 2.59e-04
