[calibration-only] launching 5 calibration cells (steps=per-group STEP_BUDGET pins, device=cuda, results_dir=/home/nvidia/chapter2/capability_separation/results)
  [S3__unconstrained__seed0] step 1/8000  loss=0.8696
  [S3__unconstrained__seed0] step 500/8000  loss=0.2983
  [S3__unconstrained__seed0] step 1000/8000  loss=0.2974
  [S3__unconstrained__seed0] step 1500/8000  loss=0.2424
  [S3__unconstrained__seed0] step 2000/8000  loss=0.0298
  [S3__unconstrained__seed0] step 2500/8000  loss=0.2958
  [S3__unconstrained__seed0] step 3000/8000  loss=0.0617
  [S3__unconstrained__seed0] step 3500/8000  loss=0.1838
  [S3__unconstrained__seed0] step 4000/8000  loss=0.1680
  [S3__unconstrained__seed0] step 4500/8000  loss=0.2289
  [S3__unconstrained__seed0] step 5000/8000  loss=0.0053
  [S3__unconstrained__seed0] step 5500/8000  loss=0.1194
  [S3__unconstrained__seed0] step 6000/8000  loss=0.1093
  [S3__unconstrained__seed0] step 6500/8000  loss=0.0921
  [S3__unconstrained__seed0] step 7000/8000  loss=0.0745
  [S3__unconstrained__seed0] step 7500/8000  loss=0.1035
  [S3__unconstrained__seed0] step 8000/8000  loss=0.0533
  [S4__unconstrained__seed0] step 1/20000  loss=1.0678
  [S4__unconstrained__seed0] step 500/20000  loss=0.3509
  [S4__unconstrained__seed0] step 1000/20000  loss=0.2152
  [S4__unconstrained__seed0] step 1500/20000  loss=0.2484
  [S4__unconstrained__seed0] step 2000/20000  loss=0.2705
  [S4__unconstrained__seed0] step 2500/20000  loss=0.3650
  [S4__unconstrained__seed0] step 3000/20000  loss=0.1772
  [S4__unconstrained__seed0] step 3500/20000  loss=0.2797
  [S4__unconstrained__seed0] step 4000/20000  loss=0.2428
  [S4__unconstrained__seed0] step 4500/20000  loss=0.3538
  [S4__unconstrained__seed0] step 5000/20000  loss=0.1616
  [S4__unconstrained__seed0] step 5500/20000  loss=0.3436
  [S4__unconstrained__seed0] step 6000/20000  loss=0.0078
  [S4__unconstrained__seed0] step 6500/20000  loss=0.1459
  [S4__unconstrained__seed0] step 7000/20000  loss=0.3087
  [S4__unconstrained__seed0] step 7500/20000  loss=0.0067
  [S4__unconstrained__seed0] step 8000/20000  loss=0.0069
  [S4__unconstrained__seed0] step 8500/20000  loss=0.2880
  [S4__unconstrained__seed0] step 9000/20000  loss=0.0759
  [S4__unconstrained__seed0] step 9500/20000  loss=0.0056
  [S4__unconstrained__seed0] step 10000/20000  loss=0.2081
  [S4__unconstrained__seed0] step 10500/20000  loss=0.1383
  [S4__unconstrained__seed0] step 11000/20000  loss=0.0024
  [S4__unconstrained__seed0] step 11500/20000  loss=0.1706
  [S4__unconstrained__seed0] step 12000/20000  loss=0.1695
  [S4__unconstrained__seed0] step 12500/20000  loss=0.1005
  [S4__unconstrained__seed0] step 13000/20000  loss=0.0016
  [S4__unconstrained__seed0] step 13500/20000  loss=0.0346
  [S4__unconstrained__seed0] step 14000/20000  loss=0.0126
