[calibration-only] launching 5 calibration cells (steps=8000, device=cuda, results_dir=/home/nvidia/chapter2/capability_separation/results)
  [S3__unconstrained__seed0] step 1/8000  loss=0.8696
  [S3__unconstrained__seed0] step 500/8000  loss=0.2983
  [S3__unconstrained__seed0] step 1000/8000  loss=0.2974
  [S3__unconstrained__seed0] step 1500/8000  loss=0.2424
  [S3__unconstrained__seed0] step 2000/8000  loss=0.0298
  [S3__unconstrained__seed0] step 2500/8000  loss=0.2958
  [S3__unconstrained__seed0] step 3000/8000  loss=0.0617
  [S3__unconstrained__seed0] step 3500/8000  loss=0.1838
  [S3__unconstrained__seed0] step 4000/8000  loss=0.1680
  [S3__unconstrained__seed0] step 4500/8000  loss=0.2289
  [S3__unconstrained__seed0] step 5000/8000  loss=0.0053
  [S3__unconstrained__seed0] step 5500/8000  loss=0.1194
  [S3__unconstrained__seed0] step 6000/8000  loss=0.1093
  [S3__unconstrained__seed0] step 6500/8000  loss=0.0921
  [S3__unconstrained__seed0] step 7000/8000  loss=0.0745
  [S3__unconstrained__seed0] step 7500/8000  loss=0.1035
  [S3__unconstrained__seed0] step 8000/8000  loss=0.0533
  [S4__unconstrained__seed0] step 1/8000  loss=1.0678
  [S4__unconstrained__seed0] step 500/8000  loss=0.3509
  [S4__unconstrained__seed0] step 1000/8000  loss=0.2152
  [S4__unconstrained__seed0] step 1500/8000  loss=0.2484
  [S4__unconstrained__seed0] step 2000/8000  loss=0.2705
  [S4__unconstrained__seed0] step 2500/8000  loss=0.3650
  [S4__unconstrained__seed0] step 3000/8000  loss=0.1772
  [S4__unconstrained__seed0] step 3500/8000  loss=0.2797
  [S4__unconstrained__seed0] step 4000/8000  loss=0.2428
  [S4__unconstrained__seed0] step 4500/8000  loss=0.3538
  [S4__unconstrained__seed0] step 5000/8000  loss=0.1616
  [S4__unconstrained__seed0] step 5500/8000  loss=0.3436
  [S4__unconstrained__seed0] step 6000/8000  loss=0.0078
  [S4__unconstrained__seed0] step 6500/8000  loss=0.1459
  [S4__unconstrained__seed0] step 7000/8000  loss=0.3087
  [S4__unconstrained__seed0] step 7500/8000  loss=0.0067
  [S4__unconstrained__seed0] step 8000/8000  loss=0.0069
  [A5__unconstrained__seed0] step 1/8000  loss=1.1002
  [A5__unconstrained__seed0] step 500/8000  loss=0.3611
  [A5__unconstrained__seed0] step 1000/8000  loss=0.3669
  [A5__unconstrained__seed0] step 1500/8000  loss=0.2422
  [A5__unconstrained__seed0] step 2000/8000  loss=0.3463
  [A5__unconstrained__seed0] step 2500/8000  loss=0.3667
  [A5__unconstrained__seed0] step 3000/8000  loss=0.0757
  [A5__unconstrained__seed0] step 3500/8000  loss=0.0671
  [A5__unconstrained__seed0] step 4000/8000  loss=0.1710
  [A5__unconstrained__seed0] step 4500/8000  loss=0.2111
  [A5__unconstrained__seed0] step 5000/8000  loss=0.3314
  [A5__unconstrained__seed0] step 5500/8000  loss=0.0806
  [A5__unconstrained__seed0] step 6000/8000  loss=0.2862
  [A5__unconstrained__seed0] step 6500/8000  loss=0.1680
  [A5__unconstrained__seed0] step 7000/8000  loss=0.1973
  [A5__unconstrained__seed0] step 7500/8000  loss=0.0091
  [A5__unconstrained__seed0] step 8000/8000  loss=0.2910
  [S5__unconstrained__seed0] step 1/8000  loss=0.9608
  [S5__unconstrained__seed0] step 500/8000  loss=0.3867
  [S5__unconstrained__seed0] step 1000/8000  loss=0.2784
  [S5__unconstrained__seed0] step 1500/8000  loss=0.2699
  [S5__unconstrained__seed0] step 2000/8000  loss=0.2328
  [S5__unconstrained__seed0] step 2500/8000  loss=0.3170
  [S5__unconstrained__seed0] step 3000/8000  loss=0.2163
  [S5__unconstrained__seed0] step 3500/8000  loss=0.1396
  [S5__unconstrained__seed0] step 4000/8000  loss=0.2983
  [S5__unconstrained__seed0] step 4500/8000  loss=0.2500
  [S5__unconstrained__seed0] step 5000/8000  loss=0.0884
  [S5__unconstrained__seed0] step 5500/8000  loss=0.0153
  [S5__unconstrained__seed0] step 6000/8000  loss=0.1989
  [S5__unconstrained__seed0] step 6500/8000  loss=0.0927
  [S5__unconstrained__seed0] step 7000/8000  loss=0.0184
  [S5__unconstrained__seed0] step 7500/8000  loss=0.0080
  [S5__unconstrained__seed0] step 8000/8000  loss=0.0076
  [A6__unconstrained__seed0] step 1/8000  loss=1.1055
  [A6__unconstrained__seed0] step 500/8000  loss=0.4715
  [A6__unconstrained__seed0] step 1000/8000  loss=0.3265
  [A6__unconstrained__seed0] step 1500/8000  loss=0.3700
  [A6__unconstrained__seed0] step 2000/8000  loss=0.3575
  [A6__unconstrained__seed0] step 2500/8000  loss=0.3488
  [A6__unconstrained__seed0] step 3000/8000  loss=0.3387
  [A6__unconstrained__seed0] step 3500/8000  loss=0.2676
  [A6__unconstrained__seed0] step 4000/8000  loss=0.3584
  [A6__unconstrained__seed0] step 4500/8000  loss=0.2311
  [A6__unconstrained__seed0] step 5000/8000  loss=0.2207
  [A6__unconstrained__seed0] step 5500/8000  loss=0.1310
  [A6__unconstrained__seed0] step 6000/8000  loss=0.2315
  [A6__unconstrained__seed0] step 6500/8000  loss=0.1948
  [A6__unconstrained__seed0] step 7000/8000  loss=0.1433
  [A6__unconstrained__seed0] step 7500/8000  loss=0.1780
  [A6__unconstrained__seed0] step 8000/8000  loss=0.2199
[calibration-only] wrote calibration report: real_rate_per_cell=0.0179 GPU-h/cell -> /home/nvidia/chapter2/capability_separation/results/calibration_report.json
