T_LAUNCH=1783579749.233666967 (2026-07-09T06:49:09Z)
t=1783579761.254905693 elapsed=12.021238726s step=1 cum_rate=12.0212s/step
t=1783579785.294980965 elapsed=36.061313998s step=100 cum_rate=.3606s/step
t=1783579809.336036115 elapsed=60.102369148s step=200 cum_rate=.3005s/step
t=1783579833.375001003 elapsed=84.141334036s step=300 cum_rate=.2804s/step
t=1783579854.408409408 elapsed=105.174742441s step=400 cum_rate=.2629s/step
t=1783579878.449032660 elapsed=129.215365693s step=500 cum_rate=.2584s/step
t=1783579902.488269613 elapsed=153.254602646s step=600 cum_rate=.2554s/step
t=1783579926.526825393 elapsed=177.293158426s step=700 cum_rate=.2532s/step
t=1783579950.563332787 elapsed=201.329665820s step=800 cum_rate=.2516s/step
t=1783579974.605151695 elapsed=225.371484728s step=900 cum_rate=.2504s/step
t=1783579995.637925634 elapsed=246.404258667s step=1000 cum_rate=.2464s/step
PROCESS EXITED. total_wall=252.418220469s
