unix_time,step,interval_s_per_step,flag
1783575553,100,,
1783575673,200,1.2000,
1783575793,400,0.6000,
1783575913,500,1.2000,
1783576033,700,0.6000,
1783576153,800,1.2000,
1783576273,1000,0.6000,
1783576393,1100,1.2000,
1783576513,1200,1.2000,
1783576633,1400,0.6000,
1783576753,1500,1.2000,
1783576873,1700,0.6000,
1783576993,1800,1.2000,
1783577113,2000,0.6000,
1783577233,2100,1.2000,
1783577353,2200,1.2000,
1783577473,2400,0.6000,
1783577593,2500,1.2000,
1783577713,2700,0.6000,
1783577833,2800,1.2000,
1783577953,3000,0.6000,
1783578073,3100,1.2000,
1783578193,3200,1.2000,
1783578313,3400,0.6000,
1783578433,3500,1.2000,
1783578553,3700,0.6000,
1783578673,3800,1.2000,
1783578793,4000,0.6000,
1783578913,4100,1.2000,
1783579033,4200,1.2000,
1783579153,4400,0.6000,
1783579273,4500,1.2000,
1783579393,4700,0.6000,
1783579513,4800,1.2000,
1783579633,4900,1.2000,
1783579753,5100,0.6000,
1783579873,5200,1.2000,
1783579993,5400,0.6000,
1783580113,5500,1.2000,
1783580233,5700,0.6000,
1783580353,5800,1.2000,
1783580473,5900,1.2000,
1783580593,6100,0.6000,
1783580713,6200,1.2000,
1783580833,6400,0.6000,
1783580953,6500,1.2000,
1783581073,6700,0.6000,
1783581193,6800,1.2000,
1783581313,6900,1.2000,
1783581433,7100,0.6000,
1783581553,7200,1.2000,
1783581673,7400,0.6000,
1783581793,7500,1.2000,
1783581913,7700,0.6000,
1783582033,7800,1.2000,
1783582153,7900,1.2000,
1783582273,8100,0.6000,
1783582393,8200,1.2000,
1783582513,8400,0.6000,
1783582633,8500,1.2000,
1783582753,8700,0.6000,
1783582873,8800,1.2000,
1783582993,8900,1.2000,
1783583113,9100,0.6000,
1783583233,9200,1.2000,
1783583353,9400,0.6000,
1783583473,9500,1.2000,
1783583593,9700,0.6000,
1783583713,9800,1.2000,
1783583833,9900,1.2000,
1783583953,10100,0.6000,
1783584073,10200,1.2000,
1783584193,10400,0.6000,
1783584313,10500,1.2000,
1783584433,10700,0.6000,
1783584553,10800,1.2000,
1783584673,10900,1.2000,
1783584793,11100,0.6000,
1783584913,11200,1.2000,
1783585033,11400,0.6000,
1783585153,11500,1.2000,
1783585273,11700,0.6000,
1783585393,11800,1.2000,
1783585513,11900,1.2000,
1783585633,12100,0.6000,
1783585753,12200,1.2000,
1783585873,12400,0.6000,
1783585993,12500,1.2000,
1783586113,12700,0.6000,
1783586233,12800,1.2000,
1783586353,12900,1.2000,
1783586473,13100,0.6000,
1783586593,13200,1.2000,
1783586713,13400,0.6000,
1783586833,13500,1.2000,
1783586953,13700,0.6000,
1783587073,13800,1.2000,
1783587193,14000,0.6000,
1783587313,14100,1.2000,
1783587433,14200,1.2000,
1783587553,14400,0.6000,
1783587673,14500,1.2000,
1783587793,14700,0.6000,
1783587913,14800,1.2000,
1783588033,15000,0.6000,
1783588153,15100,1.2000,
1783588273,15200,1.2000,
1783588393,15400,0.6000,
1783588513,15500,1.2000,
1783588633,15700,0.6000,
1783588753,15800,1.2000,
1783588873,16000,0.6000,
1783588993,16100,1.2000,
1783589113,16200,1.2000,
1783589233,16400,0.6000,
1783589353,16500,1.2000,
1783589473,16700,0.6000,
1783589593,16800,1.2000,
1783589713,17000,0.6000,
1783589833,17100,1.2000,
1783589953,17200,1.2000,
1783590073,17400,0.6000,
1783590193,17500,1.2000,
1783590313,17700,0.6000,
1783590433,17800,1.2000,
1783590553,18000,0.6000,
1783590673,18100,1.2000,
1783590793,18200,1.2000,
1783590913,18400,0.6000,
1783591033,18500,1.2000,
1783591153,18700,0.6000,
1783591273,18800,1.2000,
1783591393,19000,0.6000,
1783591513,19100,1.2000,
1783591633,19200,1.2000,
1783591753,19400,0.6000,
1783591873,19500,1.2000,
1783591993,19700,0.6000,
1783592113,19800,1.2000,
