unix_time,step,cum_rate_s_per_step,flag
1783626355,100,1.200011100769043,
1783626475,200,1.200006959438324,
1783626595,400,0.9000041234493256,
1783626715,500,0.9600037689208984,
1783626835,700,0.8571458830152239,
1783626955,800,0.9000029760599136,
1783627075,900,0.9333363228374058,
1783627195,1100,0.8727299761772156,
1783627315,1200,0.9000027098258336,
1783627435,1400,0.8571453784193311,
1783627555,1500,0.8800025372505188,
1783627675,1700,0.8470611984589521,
1783627795,1800,0.8666690626409319,
1783627915,1900,0.8842129504053217,
1783628035,2100,0.8571451687812806,
1783628155,2200,0.8727296107465571,
1783628275,2400,0.8500022599101067,
1783628395,2500,0.8640023013114929,
1783628515,2700,0.844446664209719,
1783628635,2800,0.8571450785228184,
1783628755,2900,0.8689677684060458,
1783628875,3100,0.8516151055212944,
1783628995,3200,0.8625022161006928,
1783629115,3400,0.8470609983275919,
1783629235,3500,0.8571450480733599,
1783629355,3700,0.8432453907502664,
1783629475,3800,0.8526337447291926,
1783629595,3900,0.8615406433129922,
1783629715,4100,0.8487826367122371,
1783629835,4200,0.8571450185775756,
1783629955,4400,0.8454566678133878,
1783630075,4500,0.8533354951540629,
1783630195,4700,0.8425553202121816,
1783630315,4800,0.8500021440784137,
1783630435,4900,0.8571450196480265,
1783630555,5100,0.8470609535890467,
1783630675,5200,0.8538482950283931,
1783630795,5400,0.8444465574511776,
1783630915,5500,0.8509112224145369,
1783631035,5700,0.8421073688540542,
1783631155,5800,0.8482779804591475,
1783631275,5900,0.8542394248509811,
1783631395,6100,0.8459037496613675,
1783631515,6200,0.8516150232668845,
1783631635,6400,0.8437520956620574,
1783631755,6500,0.849232882646414,
1783631875,6700,0.8417931361340765,
1783631995,6800,0.8470609274681876,
1783632115,6900,0.8521760295093923,
1783632235,7100,0.8450725153466345,
1783632355,7200,0.8500021026862992,
1783632475,7400,0.8432453269571871,
1783632595,7500,0.8480020973841349,
1783632715,7700,0.8415605155214086,
1783632835,7800,0.8461559264170818,
1783632955,7900,0.8506349996373623,
1783633075,8100,0.8444465190687297,
1783633195,8200,0.8487825724555225,
1783633315,8400,0.8428592088392802,
1783633435,8500,0.8470608970698188,
1783633555,8700,0.841381370719822,
1783633675,8800,0.8454566119204868,
1783633795,8900,0.8494402813643552,
1783633915,9100,0.8439581110975245,
1783634035,9200,0.8478281622347624,
1783634155,9400,0.8425552531252516,
1783634275,9500,0.8463178633639687,
1783634395,9700,0.8412391797537656,
1783634515,9800,0.8449000363933796,
1783634635,9900,0.8484869331783719,
1783634755,10100,0.8435664307953108,
1783634875,10200,0.8470609044561199,
1783634995,10400,0.842309761276612,
1783635115,10500,0.8457163670857747,
1783635235,10600,0.8490586914881221,
1783635355,10800,0.8444465229687868,
1783635475,10900,0.8477085163396433,
1783635595,11100,0.8432453253462507,
1783635715,11200,0.8464306612525667,
1783635835,11400,0.8421073547162508,
1783635955,11500,0.8452194874597633,
1783636075,11600,0.8482779611801279,
1783636195,11800,0.844069882025153,
1783636315,11900,0.8470609140796822,
1783636435,12100,0.8429772832965062,
1783636555,12200,0.8459037209338829,
1783636675,12400,0.8419375589778346,
1783636795,12500,0.8448020812034607,
1783636915,12600,0.8476211343114338,
1783637035,12800,0.843752079512924,
1783637155,12900,0.8465137127942817,
1783637275,13100,0.8427501662450892,
1783637395,13200,0.8454566237781987,
1783637515,13400,0.8417931159040821,
1783637635,13500,0.8444465194808112,
1783637755,13600,0.8470609023115214,
1783637875,13800,0.8434803331934887,
1783637995,13900,0.8460452405668849,
1783638115,14100,0.8425552576991683,
1783638235,14200,0.8450724942079733,
1783638355,14400,0.8416687306265036,
1783638475,14500,0.8441399981728915,
1783638595,14600,0.8465774134577138,
1783638715,14800,0.8432453037919225,
1783638835,14900,0.8456396536539065,
1783638955,15100,0.8423861653915304,
1783639075,15200,0.8447389057749196,
1783639195,15400,0.8415604961692513,
1783639315,15500,0.8438730264632932,
1783639435,15600,0.846155909330417,
1783639555,15800,0.843040029866786,
1783639675,15900,0.8452850797941099,
1783639795,16100,0.8422380773769402,
1783639915,16200,0.8444465014816802,
1783640035,16400,0.8414654644378802,
1783640155,16500,0.8436384160446398,
1783640275,16600,0.8457851883589503,
1783640395,16800,0.8428591909011205,
1783640515,16900,0.8449724689884298,
1783640635,17100,0.8421073108249241,
1783640755,17200,0.8441880978262701,
1783640875,17400,0.8413813559077252,
1783640995,17500,0.8434306239264352,
1783641115,17600,0.8454566018418832,
1783641235,17800,0.8426986776175124,
1783641355,17900,0.8446947967273563,
1783641475,18100,0.8419910009131247,
1783641595,18200,0.8439580982334011,
1783641715,18400,0.8413063955177431,
1783641835,18500,0.8432453010662182,
1783641955,18600,0.8451633530791088,
1783642075,18800,0.842555247025287,
1783642195,18900,0.8444465036997719,
1783642315,19100,0.8418868694505143,
1783642435,19200,0.843752057775855,
1783642555,19400,0.8412391671691973,
1783642675,19500,0.8430789826833285,
1783642795,19600,0.8449000228181177,
1783642915,19800,0.8424263027340475,
1783643035,19900,0.8442231692021815,
